wav_filename|duration|transcript|transcript_mms|levenshtein|client_id|file_size|num_words
data_sr16k/sr16k_mono_0014-CP518_242.194-245.876.wav|3.682|Que Hollywood é essa que você vai nos apresentar agora?|Que Hollywood é essa que você vai nos apresentar agora?|0|9351|117902|10
data_sr16k/sr16k_mono_0017-CP619_175.207-180.091.wav|4.884|de cultura e como é que o Estado instrumentaliza a cultura para vocês?|de cultura e como é que o Estado instrumentaliza a cultura para vocês?|0|9351|156366|13
data_sr16k/sr16k_mono_0031-CP674_475.461-477.963.wav|2.502|Nós vamos ao intervalo e voltaremos já já com Regina Rheda.|Nós vamos ao intervalo e voltaremos já já com Regina Rheda.|0|9351|80142|11
data_sr16k/sr16k_mono_0016-CP623_122.641-135.948.wav|13.307|Esse é um é um trabalho que, exatamente nesse momento de recessão, eh pela própria condição que é dada à cultura, é um trabalho lapidar, é um trabalho muito interessante e realmente de coragem.|Esse é um é um trabalho que, exatamente nesse momento de recessão, eh pela própria condição que é dada à cultura, é um trabalho lapidar, é um trabalho muito interessante e realmente de coragem.|0|9351|425902|34
data_sr16k/sr16k_mono_0013-CP690_196.766-203.45.wav|6.684|Por exemplo por exemplo Você está com um dos maiores problemas das livrarias é exatamente a qualificação do pessoal balco balconista, né?|Por exemplo por exemplo Você está com um dos maiores problemas das livrarias é exatamente a qualificação do pessoal balco balconista, né?|0|9351|213966|22
data_sr16k/sr16k_mono_0030-CP648_1459.07-1468.34.wav|9.27|Porém, uma coisa eu afirmo, quem, é, começa na imprensa escrita é muito melhor do que aquele que só atuou na na mídia eletrônica corrento|Porém, uma coisa eu afirmo, quem, é, começa na imprensa escrita é muito melhor do que aquele que só atuou na na mídia eletrônica corrento|0|9351|296718|25
data_sr16k/sr16k_mono_0056-CP575_123.529-130.672.wav|7.143|Mas se Emílio Moura, por exemplo, ele se sentiu retraído para isso, você se, você, eh, eh, julga que ainda hoje isso é possível?|Mas se Emílio Moura, por exemplo, ele se sentiu retraído para isso, você se, você, eh, eh, julga que ainda hoje isso é possível?|0|9351|228654|24
data_sr16k/sr16k_mono_0002-CP648_14.764-17.424.wav|2.66|Boa tarde para os ouvintes da cê bê ene Brasil.|Boa tarde para os ouvintes da cê bê ene Brasil.|0|9351|85198|10
data_sr16k/sr16k_mono_0032-CP575_952.286-956.909.wav|4.623|Meio dia e dezoito, você está acompanhando o programa Certas Palavras.|Meio dia e dezoito, você está acompanhando o programa Certas Palavras.|0|9351|148014|11
data_sr16k/sr16k_mono_0017-CP717_100.824-114.954.wav|14.13|São três os vencedores, três os os autores estreantes que começaram bem sua carreira de escritores e esse prêmio que tem o apoio da sace, a seguradora da Caixa Econômica Federal.|São três os vencedores, três os os autores estreantes que começaram bem sua carreira de escritores e esse prêmio que tem o apoio da sace, a seguradora da Caixa Econômica Federal.|0|9351|452238|31
data_sr16k/sr16k_mono_0054-CP512_1315.72-1321.21.wav|5.49|No próximo sábado tem mais, sempre às seis da tarde, aqui na Nova Eldorado á eme.|No próximo sábado tem mais, sempre às seis da tarde, aqui na Nova Eldorado á eme.|0|9351|175758|16
